freq_hz,mag_db,phase_deg
3.356933593750000000e+00,4.839614052038529124e+00,-3.526835430537604310e+01
3.387451171875000000e+00,5.852861049460483578e+00,-3.651623757692909322e+01
3.417968750000000000e+00,5.889442420634382280e+00,-2.312017693444413524e+01
3.448486328125000000e+00,4.245436397849961629e+00,-3.213803111857907879e+01
3.479003906250000000e+00,4.009872627666428713e+00,-3.644037632620236877e+01
3.509521484375000000e+00,3.850948013489636335e+00,-3.013661120605637933e+01
3.540039062500000000e+00,4.385399215408414264e+00,-3.093333144495722209e+01
3.570556640625000000e+00,5.291298340601370498e+00,-3.129138921527580663e+01
3.601074218750000000e+00,3.985933219706258690e+00,-3.512990884612606379e+01
3.631591796875000000e+00,3.751848898659515541e+00,-3.241654435412750956e+01
3.662109375000000000e+00,3.375640908011041219e+00,-3.282430423992236257e+01
3.692626953125000000e+00,3.808589882140704486e+00,-3.500316760410368744e+01
3.723144531250000000e+00,4.136413046485325928e+00,-4.519274091293210915e+01
3.753662109375000000e+00,4.066077494533956838e+00,-3.972975235320956244e+01
3.784179687500000000e+00,3.421881656529458304e+00,-3.332446946101089935e+01
3.814697265625000000e+00,4.034094345684741789e+00,-3.195694057936688637e+01
3.845214843750000000e+00,4.200124151335441702e+00,-4.325829295904711103e+01
3.875732421875000000e+00,5.473934356836990034e+00,-3.982096846323516104e+01
3.906250000000000000e+00,5.032612840349339756e+00,-3.176732549133173578e+01
3.936767578125000000e+00,3.199955577943167206e+00,-2.688021133665216666e+01
3.967285156250000000e+00,3.278629071888499169e+00,-3.117972114877801459e+01
3.997802734375000000e+00,3.603736019807499247e+00,-3.576335043222663757e+01
4.028320312500000000e+00,4.282980413468507663e+00,-3.551951603581814965e+01
4.058837890625000000e+00,5.189864725922179289e+00,-3.549450876260601007e+01
4.089355468750000000e+00,4.665456108808986535e+00,-4.097460177157088879e+01
4.119873046875000000e+00,4.320710226395082287e+00,-4.594845095435636040e+01
4.150390625000000000e+00,4.483118379167447820e+00,-3.480567474363152769e+01
4.180908203125000000e+00,5.451802985745629826e+00,-3.321579751035526584e+01
4.211425781250000000e+00,4.632779852355391803e+00,-3.790018420554244472e+01
4.241943359375000000e+00,5.128250150448692146e+00,-4.719024154762288248e+01
4.272460937500000000e+00,7.258516864257292589e+00,-4.557896913573902253e+01
4.302978515625000000e+00,7.026860754207156390e+00,-3.226367081198499420e+01
4.333496093750000000e+00,5.064103245465418901e+00,-4.397170034611139755e+01
4.364013671875000000e+00,4.065797552670849413e+00,-3.729843638630071467e+01
4.394531250000000000e+00,4.783902910493268656e+00,-4.131751471692685840e+01
4.425048828125000000e+00,4.391563624846745562e+00,-4.697253625175224556e+01
4.455566406250000000e+00,4.297239776924353549e+00,-4.813446715591087610e+01
4.486083984375000000e+00,3.572654248066357674e+00,-4.730264706370178374e+01
4.516601562500000000e+00,3.700995158940613372e+00,-4.434710637313160930e+01
4.547119140625000000e+00,3.474173842063572604e+00,-3.897157775421244708e+01
4.577636718750000000e+00,3.905261452495582652e+00,-4.080893542867150359e+01
4.608154296875000000e+00,3.138499160486980522e+00,-3.749501755634170053e+01
4.638671875000000000e+00,4.379223105370392055e+00,-3.583744862704685374e+01
4.669189453125000000e+00,5.309445365941911632e+00,-3.823047839309855078e+01
4.699707031250000000e+00,3.749343267522479373e+00,-4.300609204187321666e+01
4.730224609375000000e+00,4.770647315885726769e+00,-4.264285451138015759e+01
4.760742187500000000e+00,4.721793686370848064e+00,-3.999739144221515375e+01
4.791259765625000000e+00,3.457247121486632491e+00,-3.787755737017642588e+01
4.821777343750000000e+00,3.500119745771903990e+00,-4.403902344011870440e+01
4.852294921875000000e+00,4.296061017836615648e+00,-3.561932185578550047e+01
4.882812500000000000e+00,4.095046132653773263e+00,-3.445786527354842832e+01
4.913330078125000000e+00,4.154965752609800944e+00,-4.701953679118325624e+01
4.943847656250000000e+00,4.665742548803740064e+00,-3.535843983427551507e+01
4.974365234375000000e+00,5.721302685745289551e+00,-2.180485671523305058e+01
5.004882812500000000e+00,4.280663261226882454e+00,-3.505148311922170024e+01
5.035400390625000000e+00,3.186614360276944335e+00,-3.487887272325259858e+01
5.065917968750000000e+00,3.560710168440517798e+00,-3.378214737631483189e+01
5.096435546875000000e+00,4.273068404537157861e+00,-3.212971631395785010e+01
5.126953125000000000e+00,3.928367996965211884e+00,-2.787625668752863106e+01
5.157470703125000000e+00,3.359347002999222731e+00,-1.903391500846659312e+01
5.187988281250000000e+00,6.361065923222999352e+00,-3.080643117916545037e+01
5.218505859375000000e+00,6.601308581612560289e+00,-2.252104366633746935e+01
5.249023437500000000e+00,8.368905996737156627e+00,-4.366805645057231544e+01
5.279541015625000000e+00,5.623230196068144338e+00,-2.845441549596513298e+01
5.310058593750000000e+00,6.227775706811531364e+00,-3.646661059855138376e+01
5.340576171875000000e+00,3.411414574959529489e+00,-3.975224492929943665e+01
5.371093750000000000e+00,2.324767533932488917e+00,-1.646135344763507646e+01
5.401611328125000000e+00,2.957662806314749648e+00,-3.846785661564578618e+01
5.432128906250000000e+00,-3.823233175660645800e-01,-4.735519893552667270e+01
5.462646484375000000e+00,2.907263947671608895e-01,-4.088401347107607364e+01
5.493164062500000000e+00,1.888625134464739563e+00,-5.567759466293757953e+01
5.523681640625000000e+00,3.913832976578548450e+00,-7.924731383424828834e+01
5.554199218750000000e+00,5.548996966303946010e+00,-5.916000115846811269e+01
5.584716796875000000e+00,-2.461503422492316684e+00,-6.645333748015048059e+01
5.615234375000000000e+00,-1.780070552464861899e+00,-5.624237360557680176e+01
5.645751953125000000e+00,-6.871925784458438047e-01,-6.143464865625199423e+01
5.676269531250000000e+00,-1.738847465749550958e+00,-7.231683520511157326e+01
5.706787109375000000e+00,-5.275612835877289797e+00,-9.398558499617378459e+01
5.737304687500000000e+00,8.249057580636526277e-02,-9.817559481647043640e+01
5.767822265625000000e+00,3.016453569744777852e+00,-1.741727145928384601e+01
5.798339843750000000e+00,-3.073557712275314824e+00,-1.668051646695755608e+01
5.828857421875000000e+00,7.430573942515803054e+00,-8.776529653300958955e+01
5.859375000000000000e+00,-4.919508276501623811e+00,6.875771488631126260e+01
5.889892578125000000e+00,-6.794572186911524092e+00,8.282667755147733146e+01
5.920410156250000000e+00,5.187387203863194962e+00,-1.652102885175003166e+02
5.950927734375000000e+00,-5.707736350523651137e-01,2.185539370321491504e+01
5.981445312500000000e+00,-1.009537779290766935e+01,-2.066192247930946024e+00
6.011962890625000000e+00,-1.160354982944749835e+01,4.183084189824112009e+00
6.042480468750000000e+00,1.625743743210629333e+01,1.619824660610452938e+01
